title,url,rating,sum_ecv
Lasagnes végétariennes champignons épinards mascarpone,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes_217243.aspx,5,0.4692
Courgettes rondes farcies (végétariennes),https://www.marmiton.org/recettes/recette_courgettes-farcies-vegetariennes_88202.aspx,4.7,7.391433
Lasagnes végétariennes aux épinards frais,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-aux-epinards-frais_67951.aspx,4.6,0.2374
Lasagnes végétariennes à la feta,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-a-la-feta_54822.aspx,4.8,1.51038
Steak tartare végétarien,https://www.marmiton.org/recettes/recette_steak-tartare-vegetarien_30154.aspx,5,0.198
Lasagne végétarienne aux 8 légumes,https://www.marmiton.org/recettes/recette_lasagne-vegetarienne-aux-8-legumes_22848.aspx,4.5,1.228267
Chou farci végétarien,https://www.marmiton.org/recettes/recette_chou-farci-vegetarien_61856.aspx,4.5,0.225361
Patates douces farcies végétariennes de Noël,https://www.marmiton.org/recettes/recette_patates-douces-farcies-vegetariennes-de-noel_349217.aspx,4.5,0.091707
Poivrons farcis riz et épices (végétarien),https://www.marmiton.org/recettes/recette_poivrons-farcis-riz-et-epices-vegetarien_39545.aspx,4.3,0.302188
Aubergines végétariennes au fromage blanc,https://www.marmiton.org/recettes/recette_aubergines-vegetariennes-au-fromage-blanc_29354.aspx,4.4,0.18768
lasagnes végétariennes aux courgette et champignons,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-aux-courgette-et-champignons_40574.aspx,4.7,0.312307
Ratatouille espagnole végétarienne,https://www.marmiton.org/recettes/recette_ratatouille-espagnole-vegetarienne_44128.aspx,4.8,2.45152
Muffins végétaliens,https://www.marmiton.org/recettes/recette_muffins-vegetaliens_167559.aspx,4.8,0.327068
Pot-au-feu végétarien au fromage,https://www.marmiton.org/recettes/recette_pot-au-feu-vegetarien-au-gruyere_28189.aspx,4.2,0.799709
Hachis parmentier végétarien façon Lina,https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_344671.aspx,4.4,0.507212
Saucisses végétariennes,https://www.marmiton.org/recettes/recette_saucisses-vegetariennes_34445.aspx,4.4,0.112681
Couscous végétarien (couscoussier),https://www.marmiton.org/recettes/recette_couscous-vegetarien_31694.aspx,4.7,0.512565
Ragout végétarien,https://www.marmiton.org/recettes/recette_ragout-vegetarien_347010.aspx,4.7,0.147475
Blanquette végétarienne,https://www.marmiton.org/recettes/recette_blanquette-vegetarienne_391745.aspx,4.8,0.515068
Steak végétarien,https://www.marmiton.org/recettes/recette_steak-vegetarien_336178.aspx,4.8,0.450722
Wok végétarien quinoa,https://www.marmiton.org/recettes/recette_wok-vegetarien-quinoa_346026.aspx,5,0.273152
Cannellonidchou Végétariens (11ème rencontre Marmiton),https://www.marmiton.org/recettes/recette_cannellonidchou-vegetariens-11eme-rencontre-marmiton_32511.aspx,4.8,0.9676279999999999
Nems végétariens aux légumes et aux épices,https://www.marmiton.org/recettes/recette_nems-vegetariens-aux-legumes-et-aux-epices_50665.aspx,5,2.362857
Moussaka végétarienne,https://www.marmiton.org/recettes/recette_moussaka-vegetarienne_29912.aspx,4.1,7.226062
Boulettes aux épinards (végétarien),https://www.marmiton.org/recettes/recette_boulettes-aux-epinards-vegetarien_83982.aspx,4.4,0.225361
Tajine végétarien (légumes et épices),https://www.marmiton.org/recettes/recette_tajine-vegetarien-legumes-et-epices_312325.aspx,4.6,0.4165
Flammekueche végétarienne,https://www.marmiton.org/recettes/recette_flammekueche-vegetarienne_40419.aspx,4.8,3.727024
Rouleaux de printemps végétariens,https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx,4.8,4.177697
Riz cantonnais végétarien,https://www.marmiton.org/recettes/recette_riz-cantonnais-vegetarien_165895.aspx,4.8,2.501153
Lasagnes végétariennes façon moussaka,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facon-moussaka_71649.aspx,4.4,0.878587
Poêlée végétarienne carottes et poireaux,https://www.marmiton.org/recettes/recette_poelee-vegetarienne-carottes-et-poireaux_85837.aspx,4.4,0.63873
