title,rating,is_vege,total_ecv,avg_kcal,avg_fat,avg_ecv,ingredients
Lasagnes végétariennes (facile),4.8,1,0.4496428,80.8,1.0133333333333334,0.14988093333333333,"[{'name': 'tomates', 'quantity': 200.0, 'unit': 'g'}, {'name': 'courgettes', 'quantity': 400.0, 'unit': 'g'}, {'name': 'coulis de tomate', 'quantity': 200.0, 'unit': 'g'}]"
Hachis parmentier végétarien,4.6,1,0.26961448,204.7888888888889,0.42111111111111116,0.08987149333333333,"[{'name': 'poireau', 'quantity': 150.0, 'unit': 'g'}, {'name': 'carottes', 'quantity': 140.0, 'unit': 'g'}, {'name': 'pommes de terre', 'quantity': 300.0, 'unit': 'g'}]"
Curry de légumes végétarien,4.8,1,0.3578294,112.0,1.2000000000000002,0.1789147,"[{'name': 'carotte', 'quantity': 400.0, 'unit': 'g'}, {'name': 'courgettes', 'quantity': 400.0, 'unit': 'g'}]"
Hamburger Végétarien,4.7,1,0.11268061800000001,142.4181818181818,11.127272727272727,0.11268061800000001,"[{'name': 'oeuf', 'quantity': 60.0, 'unit': 'g'}]"
Tourte de Noël végétarienne de Coralie,4.6,1,0.270947218,130.54242424242423,11.733636363636364,0.135473609,"[{'name': 'beurre', 'quantity': 20.0, 'unit': 'g'}, {'name': 'oeuf', 'quantity': 60.0, 'unit': 'g'}]"
Steak végétal aux céréales et légumes,4.9,1,0.580533855,235.27083333333334,3.40375,0.0967556425,"[{'name': 'riz', 'quantity': 100.0, 'unit': 'g'}, {'name': 'lentilles corail', 'quantity': 100.0, 'unit': 'g'}, {'name': 'poireau', 'quantity': 150.0, 'unit': 'g'}, {'name': 'carottes', 'quantity': 140.0, 'unit': 'g'}, {'name': 'boulgour', 'quantity': 150.0, 'unit': 'g'}, {'name': 'concentré de tomates', 'quantity': 50.0, 'unit': 'g'}]"
Burger végétarien aux lentilles,5.0,1,0.2719286955,340.2393939393939,5.232424242424243,0.0906428985,"[{'name': 'carotte', 'quantity': 35.0, 'unit': 'g'}, {'name': 'lentilles vertes', 'quantity': 250.0, 'unit': 'g'}, {'name': 'oeuf', 'quantity': 60.0, 'unit': 'g'}]"
Roses des sables (sans végétaline),4.5,1,0.791333,593.3333333333334,61.7,0.791333,"[{'name': 'beurre', 'quantity': 100.0, 'unit': 'g'}]"
Paëlla végétarienne,4.6,1,0.7051050125,1463.4375000000002,52.54375,0.7051050125,"[{'name': 'riz rond', 'quantity': 350.0, 'unit': 'g'}]"
Couscous végétarien facile,4.6,1,0.37997211000000003,70.13333333333334,0.8666666666666667,0.12665737000000002,"[{'name': 'carottes', 'quantity': 140.0, 'unit': 'g'}, {'name': 'tomates', 'quantity': 200.0, 'unit': 'g'}, {'name': 'courgettes', 'quantity': 400.0, 'unit': 'g'}]"
Ragoût végétarien aux légumes,4.9,1,0.17790781,279.43333333333334,0.5566666666666666,0.088953905,"[{'name': 'carottes', 'quantity': 140.0, 'unit': 'g'}, {'name': 'pommes de terre', 'quantity': 300.0, 'unit': 'g'}]"
Lasagnes végétariennes au chèvre,5.0,1,0.35580280000000003,59.5,0.8333333333333334,0.11860093333333334,"[{'name': 'tomate', 'quantity': 50.0, 'unit': 'g'}, {'name': 'courgettes', 'quantity': 400.0, 'unit': 'g'}, {'name': 'coulis de tomate', 'quantity': 200.0, 'unit': 'g'}]"
"Tarte provençale fine, light, végétarienne, économique, rapide",4.4,1,0.15835379667662,48.5999994,0.49333332,0.07917689833831,"[{'name': 'tomates', 'quantity': 200.0, 'unit': 'g'}, {'name': 'courgette', 'quantity': 66.66666, 'unit': 'g'}]"
Tarte du soir végétarienne,4.9,1,0.549884036,147.34545454545454,8.191515151515151,0.18329467866666668,"[{'name': 'courgettes', 'quantity': 400.0, 'unit': 'g'}, {'name': 'tomates', 'quantity': 200.0, 'unit': 'g'}, {'name': 'oeufs', 'quantity': 120.0, 'unit': 'g'}]"
